species	method	k	threads	cputime.sm	mem.sm	hostname	cputime.gnu	mem.gnu
ecoli	bc	23	4	42.176	210.55	compute-e-16-189.o2.rc.hms.harvard.edu	42.12	579.84
ecoli	bc	24	4	74.8536	237.15	compute-e-16-182.o2.rc.hms.harvard.edu	74.43	243.004
ecoli	bc	25	4	56.5805	203.21	compute-e-16-187.o2.rc.hms.harvard.edu	56.48	559.828
ecoli	bc	26	4	61.9903	155.24	compute-e-16-190.o2.rc.hms.harvard.edu	61.92	226.172
ecoli	bc	27	4	46.3091	202.96	compute-e-16-187.o2.rc.hms.harvard.edu	46.25	539.392
ecoli	bc	28	4	48.661	203.67	compute-a-17-121.o2.rc.hms.harvard.edu	48.61	469.436
ecoli	bc	29	4	44.5614	197.80	compute-a-16-132.o2.rc.hms.harvard.edu	44.48	339.004
ecoli	bc	30	4	46.6637	203.67	compute-a-16-59.o2.rc.hms.harvard.edu	46.61	478.512
ecoli	bc	31	4	44.4582	190.72	compute-e-16-180.o2.rc.hms.harvard.edu	44.4	496.02
ecoli	bc	32	4	68.9401	236.14	compute-e-16-187.o2.rc.hms.harvard.edu	68.83	480.94
ecoli	pa	11	1	2.6584	86.01	compute-e-16-180.o2.rc.hms.harvard.edu	2.62	87.08
ecoli	pa	12	1	4.463	146.78	compute-e-16-181.o2.rc.hms.harvard.edu	4.43	148.372
ecoli	pa	13	1	6.3452	177.43	compute-a-17-138.o2.rc.hms.harvard.edu	6.3	179.764
ecoli	pa	14	1	5.3188	191.19	compute-f-17-15.o2.rc.hms.harvard.edu	5.28	193.848
ecoli	pa	15	1	6.2306	243.26	compute-e-16-185.o2.rc.hms.harvard.edu	6.19	247.168
ecoli	pa	16	1	6.345	243.14	compute-e-16-185.o2.rc.hms.harvard.edu	6.31	247.056
ecoli	pa	17	1	5.6493	241.58	compute-a-16-111.o2.rc.hms.harvard.edu	5.6	245.448
ecoli	pa	18	1	5.9466	241.49	compute-e-16-188.o2.rc.hms.harvard.edu	5.91	245.352
ecoli	pa	19	1	5.7487	241.58	compute-a-17-68.o2.rc.hms.harvard.edu	5.7	245.448
