name	simplitigs	cum len	kmers
acidithiobacillus_ferrooxidans.bc27.fsa	6492	3293316	3124524
acidithiobacillus_ferrooxidans.bc31.fsa	5575	3299815	3132565
acidithiobacillus_ferrooxidans.pa19.fsa	3306	3162729	3103221
acidithiobacillus_ferrooxidans.pa23.fsa	2522	3170559	3115075
acidithiobacillus_ferrooxidans.pa27.fsa	2079	3178578	3124524
acidithiobacillus_ferrooxidans.pa31.fsa	1835	3187615	3132565
acidithiobacillus_sp.bc19.fsa	6503	2961214	2844160
acidithiobacillus_sp.bc23.fsa	4033	2939128	2850402
acidithiobacillus_sp.bc27.fsa	3207	2938513	2855131
acidithiobacillus_sp.bc31.fsa	2692	2939778	2859018
acidithiobacillus_sp.pa19.fsa	1825	2877010	2844160
acidithiobacillus_sp.pa23.fsa	1310	2879222	2850402
acidithiobacillus_sp.pa27.fsa	1019	2881625	2855131
acidithiobacillus_sp.pa31.fsa	877	2885328	2859018
acidithiobacillus_thiooxidans.bc19.fsa	7775	3362752	3222802
acidithiobacillus_thiooxidans.bc23.fsa	5188	3345077	3230941
acidithiobacillus_thiooxidans.bc27.fsa	4210	3346616	3237156
acidithiobacillus_thiooxidans.bc31.fsa	3615	3350867	3242417
acidithiobacillus_thiooxidans.pa19.fsa	2293	3264076	3222802
acidithiobacillus_thiooxidans.pa23.fsa	1680	3267901	3230941
acidithiobacillus_thiooxidans.pa27.fsa	1364	3272620	3237156
acidithiobacillus_thiooxidans.pa31.fsa	1199	3278387	3242417
acidobacterium_capsulatum.bc19.fsa	9926	4263013	4084345
acidobacterium_capsulatum.bc23.fsa	2539	4145961	4090103
acidobacterium_capsulatum.bc27.fsa	1657	4135947	4092865
acidobacterium_capsulatum.bc31.fsa	1198	4130709	4094769
acidobacterium_capsulatum.pa19.fsa	2050	4121245	4084345
acidobacterium_capsulatum.pa23.fsa	773	4107109	4090103
acidobacterium_capsulatum.pa27.fsa	519	4106359	4092865
acidobacterium_capsulatum.pa31.fsa	386	4106349	4094769
acidovorax_avenae.bc19.fsa	59277	6453687	5386701
acidovorax_avenae.bc23.fsa	6420	5549913	5408673
acidovorax_avenae.bc27.fsa	3675	5510582	5415032
acidovorax_avenae.bc31.fsa	2638	5498453	5419313
acidovorax_avenae.pa19.fsa	10454	5574873	5386701
acidovorax_avenae.pa23.fsa	1892	5450297	5408673
acidovorax_avenae.pa27.fsa	1135	5444542	5415032
acidovorax_avenae.pa31.fsa	886	5445893	5419313
acidovorax_carolinensis.bc19.fsa	245913	11515120	7088686
acidovorax_carolinensis.bc23.fsa	188228	11504902	7363886
acidovorax_carolinensis.bc27.fsa	167668	11960107	7600739
acidovorax_carolinensis.bc31.fsa	151785	12367345	7813795
acidovorax_carolinensis.pa19.fsa	73924	8419318	7088686
acidovorax_carolinensis.pa23.fsa	61794	8723354	7363886
acidovorax_carolinensis.pa27.fsa	53790	8999279	7600739
acidovorax_carolinensis.pa31.fsa	50143	9318085	7813795
acidovorax_citrulli.bc19.fsa	82420	6994902	5511342
acidovorax_citrulli.bc23.fsa	30991	6248190	5566388
acidovorax_citrulli.bc27.fsa	26998	6306488	5604540
acidovorax_citrulli.bc31.fsa	24907	6386353	5639143
acidovorax_citrulli.pa19.fsa	18588	5845926	5511342
acidovorax_citrulli.pa23.fsa	10037	5787202	5566388
acidovorax_citrulli.pa27.fsa	8793	5833158	5604540
acidovorax_citrulli.pa31.fsa	8258	5886883	5639143
acidovorax_ebreus.bc19.fsa	30413	4292373	3744939
acidovorax_ebreus.bc23.fsa	3245	3828412	3757022
acidovorax_ebreus.bc27.fsa	1434	3796979	3759695
acidovorax_ebreus.bc31.fsa	877	3787463	3761153
acidovorax_ebreus.pa19.fsa	5633	3846333	3744939
acidovorax_ebreus.pa23.fsa	870	3776162	3757022
acidovorax_ebreus.pa27.fsa	426	3770771	3759695
acidovorax_ebreus.pa31.fsa	281	3769583	3761153
acidovorax_sp.bc19.fsa	1041007	42664416	23926290
acidovorax_sp.bc23.fsa	386070	33178588	24685048
acidovorax_sp.bc27.fsa	250799	31622583	25101809
acidovorax_sp.bc31.fsa	168380	30429206	25377806
acidovorax_sp.pa19.fsa	244326	28324158	23926290
acidovorax_sp.pa23.fsa	122200	27373448	24685048
acidovorax_sp.pa27.fsa	71785	26968219	25101809
acidovorax_sp.pa31.fsa	54344	27008126	25377806
acinetobacter_baylyi.bc19.fsa	3775	3610213	3542263
acinetobacter_baylyi.bc23.fsa	1233	3571705	3544579
acinetobacter_baylyi.bc27.fsa	1032	3572963	3546131
acinetobacter_baylyi.bc31.fsa	922	3575192	3547532
acinetobacter_baylyi.pa19.fsa	832	3557239	3542263
acinetobacter_baylyi.pa23.fsa	438	3554215	3544579
acinetobacter_baylyi.pa27.fsa	372	3555803	3546131
acinetobacter_baylyi.pa31.fsa	287	3556142	3547532
acinetobacter_bereziniae.bc19.fsa	11525	4597677	4390227
acinetobacter_bereziniae.bc23.fsa	5297	4515768	4399234
acinetobacter_bereziniae.bc27.fsa	4212	4515062	4405550
acinetobacter_bereziniae.bc31.fsa	3531	4516674	4410744
acinetobacter_bereziniae.pa19.fsa	2795	4440537	4390227
acinetobacter_bereziniae.pa23.fsa	1690	4436414	4399234
acinetobacter_bereziniae.pa27.fsa	1328	4440078	4405550
acinetobacter_bereziniae.pa31.fsa	1147	4445154	4410744
acinetobacter_chinensis.bc19.fsa	5715	3732833	3629963
acinetobacter_chinensis.bc23.fsa	1897	3675332	3633598
acinetobacter_chinensis.bc27.fsa	1409	3672392	3635758
acinetobacter_chinensis.bc31.fsa	1192	3673279	3637519
acinetobacter_chinensis.pa19.fsa	1264	3652715	3629963
acinetobacter_chinensis.pa23.fsa	620	3647238	3633598
acinetobacter_chinensis.pa27.fsa	449	3647432	3635758
acinetobacter_chinensis.pa31.fsa	393	3649309	3637519
acinetobacter_cumulans.bc19.fsa	4538	3514472	3432788
acinetobacter_cumulans.bc23.fsa	1572	3470295	3435711
acinetobacter_cumulans.bc27.fsa	1186	3468316	3437480
acinetobacter_cumulans.bc31.fsa	936	3466940	3438860
acinetobacter_cumulans.pa19.fsa	1048	3451652	3432788
acinetobacter_cumulans.pa23.fsa	530	3447371	3435711
acinetobacter_cumulans.pa27.fsa	399	3447854	3437480
acinetobacter_cumulans.pa31.fsa	319	3448430	3438860
acinetobacter_defluvii.bc19.fsa	6622	3824889	3705693
acinetobacter_defluvii.bc23.fsa	2133	3756634	3709708
acinetobacter_defluvii.bc27.fsa	1661	3755411	3712225
acinetobacter_defluvii.bc31.fsa	1427	3757138	3714328
acinetobacter_defluvii.pa19.fsa	1424	3731325	3705693
acinetobacter_defluvii.pa23.fsa	716	3725460	3709708
acinetobacter_defluvii.pa27.fsa	552	3726577	3712225
acinetobacter_defluvii.pa31.fsa	469	3728398	3714328
acinetobacter_dispersus.bc19.fsa	6196	4069324	3957796
acinetobacter_dispersus.bc23.fsa	2409	4015139	3962141
acinetobacter_dispersus.bc27.fsa	1658	4007875	3964767
acinetobacter_dispersus.bc31.fsa	1280	4005113	3966713
acinetobacter_dispersus.pa19.fsa	1487	3984562	3957796
acinetobacter_dispersus.pa23.fsa	788	3979477	3962141
acinetobacter_dispersus.pa27.fsa	509	3978001	3964767
acinetobacter_dispersus.pa31.fsa	426	3979493	3966713
acinetobacter_equi.bc19.fsa	6209	3068511	2956749
acinetobacter_equi.bc23.fsa	1502	2992923	2959879
acinetobacter_equi.bc27.fsa	1105	2990249	2961519
acinetobacter_equi.bc31.fsa	941	2991096	2962866
acinetobacter_equi.pa19.fsa	1262	2979465	2956749
acinetobacter_equi.pa23.fsa	483	2970505	2959879
acinetobacter_equi.pa27.fsa	365	2971009	2961519
acinetobacter_equi.pa31.fsa	317	2972376	2962866
acinetobacter_guillouiae.bc19.fsa	10022	4748721	4568325
acinetobacter_guillouiae.bc23.fsa	3588	4654022	4575086
acinetobacter_guillouiae.bc27.fsa	2639	4647828	4579214
acinetobacter_guillouiae.bc31.fsa	2127	4646277	4582467
acinetobacter_guillouiae.pa19.fsa	2280	4609365	4568325
acinetobacter_guillouiae.pa23.fsa	1151	4600408	4575086
acinetobacter_guillouiae.pa27.fsa	818	4600482	4579214
acinetobacter_guillouiae.pa31.fsa	691	4603197	4582467
acinetobacter_gyllenbergii.bc19.fsa	6286	4130723	4017575
acinetobacter_gyllenbergii.bc23.fsa	2693	4081517	4022271
acinetobacter_gyllenbergii.bc27.fsa	2045	4078571	4025401
acinetobacter_gyllenbergii.bc31.fsa	1621	4076466	4027836
acinetobacter_gyllenbergii.pa19.fsa	1543	4045349	4017575
acinetobacter_gyllenbergii.pa23.fsa	884	4041719	4022271
acinetobacter_gyllenbergii.pa27.fsa	636	4041937	4025401
acinetobacter_gyllenbergii.pa31.fsa	539	4044006	4027836
acinetobacter_indicus.bc19.fsa	449931	17475204	9376446
acinetobacter_indicus.bc23.fsa	414732	19081878	9957774
acinetobacter_indicus.bc27.fsa	388099	20595837	10505263
acinetobacter_indicus.bc31.fsa	375996	22306004	11026124
acinetobacter_indicus.pa19.fsa	146067	12005652	9376446
acinetobacter_indicus.pa23.fsa	137284	12978022	9957774
acinetobacter_indicus.pa27.fsa	123102	13705915	10505263
acinetobacter_indicus.pa31.fsa	124572	14763284	11026124
acinetobacter_johnsonii.bc19.fsa	368992	15268767	8626911
acinetobacter_johnsonii.bc23.fsa	326896	16283492	9091780
acinetobacter_johnsonii.bc27.fsa	292586	17117309	9510073
acinetobacter_johnsonii.bc31.fsa	266404	17879702	9887582
acinetobacter_johnsonii.pa19.fsa	119729	10782033	8626911
acinetobacter_johnsonii.pa23.fsa	108128	11470596	9091780
acinetobacter_johnsonii.pa27.fsa	92433	11913331	9510073
acinetobacter_johnsonii.pa31.fsa	88194	12533402	9887582
acinetobacter_junii.bc19.fsa	137113	7630033	5161999
acinetobacter_junii.bc23.fsa	123519	8051718	5334300
acinetobacter_junii.bc27.fsa	114681	8475253	5493547
acinetobacter_junii.bc31.fsa	107351	8862594	5642064
acinetobacter_junii.pa19.fsa	44511	5963197	5161999
acinetobacter_junii.pa23.fsa	40961	6235442	5334300
acinetobacter_junii.pa27.fsa	37238	6461735	5493547
acinetobacter_junii.pa31.fsa	35609	6710334	5642064
acinetobacter_lactucae.bc19.fsa	6703	4034240	3913586
acinetobacter_lactucae.bc23.fsa	2468	3972338	3918042
acinetobacter_lactucae.bc27.fsa	1778	3967054	3920826
acinetobacter_lactucae.bc31.fsa	1449	3966443	3922973
acinetobacter_lactucae.pa19.fsa	1512	3940802	3913586
acinetobacter_lactucae.pa23.fsa	808	3935818	3918042
acinetobacter_lactucae.pa27.fsa	535	3934736	3920826
acinetobacter_lactucae.pa31.fsa	471	3937103	3922973
acinetobacter_larvae.bc19.fsa	6499	3725260	3608278
acinetobacter_larvae.bc23.fsa	3152	3682911	3613567
acinetobacter_larvae.bc27.fsa	2618	3685486	3617418
acinetobacter_larvae.bc31.fsa	2252	3688254	3620694
acinetobacter_larvae.pa19.fsa	1657	3638104	3608278
acinetobacter_larvae.pa23.fsa	1031	3636249	3613567
acinetobacter_larvae.pa27.fsa	837	3639180	3617418
acinetobacter_larvae.pa31.fsa	750	3643194	3620694
acinetobacter_nosocomialis.bc19.fsa	420030	17046291	9485751
acinetobacter_nosocomialis.bc23.fsa	374725	18259536	10015586
acinetobacter_nosocomialis.bc27.fsa	343119	19423367	10502273
acinetobacter_nosocomialis.bc31.fsa	322518	20629056	10953516
acinetobacter_nosocomialis.pa19.fsa	135678	11927955	9485751
acinetobacter_nosocomialis.pa23.fsa	124255	12749196	10015586
acinetobacter_nosocomialis.pa27.fsa	108756	13329929	10502273
acinetobacter_nosocomialis.pa31.fsa	107020	14164116	10953516
acinetobacter_oleivorans.bc19.fsa	6644	4218793	4099201
