species	genomes
serratia_sp	17
shewanella_algae	4
shewanella_baltica	9
shewanella_putrefaciens	4
shewanella_sp	11
sorangium_cellulosum	5
sphingobacterium_sp	7
sphingobium_sp	10
sphingomonas_sp	19
sphingopyxis_sp	7
sphingorhabdus_sp	4
spiroplasma_sp	4
staphylococcus_argenteus	5
staphylococcus_aureus	464
staphylococcus_epidermidis	20
staphylococcus_haemolyticus	8
staphylococcus_hominis	5
staphylococcus_pseudintermedius	10
staphylococcus_schleiferi	6
staphylococcus_simulans	6
staphylococcus_sp	4
staphylococcus_xylosus	4
stenotrophomonas_maltophilia	37
stenotrophomonas_sp	9
streptococcus_agalactiae	81
streptococcus_anginosus	6
streptococcus_dysgalactiae	9
streptococcus_equi	8
streptococcus_gallolyticus	5
streptococcus_gordonii	6
streptococcus_iniae	6
streptococcus_intermedius	5
streptococcus_mutans	16
streptococcus_oralis	5
streptococcus_pneumoniae	53
streptococcus_pyogenes	140
streptococcus_salivarius	13
streptococcus_sobrinus	4
streptococcus_sp	18
streptococcus_suis	42
streptococcus_thermophilus	28
streptomyces_lydicus	4
streptomyces_sp	76
streptomyces_venezuelae	10
sulfitobacter_sp	8
sulfurimonas_sp	4
sulfurospirillum_sp	5
synechococcus_sp	25
synechocystis_sp	9
taylorella_equigenitalis	6
tetragenococcus_halophilus	5
thermotoga_sp	4
tm7_phylum	4
treponema_phagedenis	5
ureaplasma_parvum	10
vagococcus_sp	4
variovorax_paradoxus	5
variovorax_sp	7
vibrio_alginolyticus	26
vibrio_anguillarum	14
vibrio_campbellii	10
vibrio_cholerae	58
vibrio_cincinnatiensis	4
vibrio_coralliilyticus	6
vibrio_diabolicus	5
vibrio_fluvialis	10
vibrio_furnissii	6
vibrio_harveyi	6
vibrio_metoecus	4
vibrio_mimicus	6
vibrio_natriegens	5
vibrio_owensii	5
vibrio_parahaemolyticus	54
vibrio_sp	12
vibrio_vulnificus	19
virgibacillus_sp	5
weissella_cibaria	9
wolbachia_endosymbiont	17
wolbachia_pipientis	7
xanthomonas_phaseoli	6
xanthomonas_vasicola	4
yersinia_pestis	31
yersinia_pseudotuberculosis	21
yersinia_ruckeri	5
